referrer_value,referrer_id
100000486454408208166,0
100000763912458474069,1
100000772955143706758,2
100000907046238530200,3
100001335679005290179,4
100001413119111821256,5
100001534834308089280,6
100001826804813287043,7
100002360555406652987,8
100002375482048779813,9
100002467422536674305,10
100003009266690562379,11
100003786341556292886,12
100003935752877898323,13
100004368791636763680,14
100004581596612508210,15
100004583620711728016,16
100005082705576559438,17
100005347907652479899,18
100005809427652429587,19
100006186695750696947,20
100006257685983922163,21
100006289720994713409,22
100006354840484863651,23
100006482087292857938,24
100006800663432832275,25
100006990849369661187,26
100007424942599633028,27
100007521425301894867,28
100007664737888745055,29
100007787736839028587,30
100007793076838098014,31
100008176682616801693,32
100008438047495460302,33
100008774185148523100,34
100008925013532140371,35
100009181756619448294,36
100009401545914416928,37
100010253647870898251,38
100010273393696339686,39
100010851797975049374,40
100011419152406547264,41
100011625101964099813,42
100011766545706941920,43
100012493880826494869,44
100013024042934761743,45
100013091829863179480,46
100013398040943792335,47
100013503239814724848,48
100013687611442258426,49
100013889854202279688,50
100014376191395984763,51
100014595154057929541,52
100014615625593695292,53
100015426554095473714,54
100015470665318041649,55
100015780237202683214,56
100015878886887680913,57
100016058227516121475,58
100016169871061517492,59
100016302229597529919,60
100016505129091544830,61
100016899877318096910,62
100017055036544458653,63
100017145487156241751,64
100017214844470202813,65
100017868823678735985,66
100018055313799456766,67
100018093743167577914,68
100018456556486501330,69
100018628334836343470,70
100018777189546649016,71
100018875761908143336,72
100018939840735779454,73
100019364506073195462,74
100020524381176799430,75
100020543878001218561,76
100020886483236628612,77
100021217891156017093,78
100021245919594056085,79
100021250551206310914,80
100021763037118622684,81
100022061825496162453,82
100022496429830572747,83
100022837800887181193,84
100022983395666441961,85
100023193940802251690,86
100023711527176476223,87
100023786738303980611,88
100024071984779702078,89
100024219513440238593,90
100024236017159578785,91
100024316682214673609,92
100024498129425694835,93
100024705953595989126,94
100024986596978918999,95
100025124997381741010,96
100025129639463186297,97
100025784724360092435,98
100025935382530097797,99
100026359533941345659,100
100026662779604884590,101
100026978292580436111,102
100027760591732857147,103
100027976376717707832,104
100028416253389683763,105
100028689656197242050,106
100029068478148889157,107
100029155361912085718,108
100029615420017681124,109
100029744451120366896,110
100029952441889055636,111
100030031975082459379,112
100030244387961821196,113
100030650615499314669,114
100030656681526620924,115
100030871492961093616,116
100030967570283228850,117
100031396199533877100,118
100031414437616577162,119
100031428824291055110,120
100031552142784614995,121
100031729696397627376,122
100032127508901656724,123
100032150156925946456,124
100033036401146360485,125
100033128212185836546,126
100034081581427776318,127
100034405135257604605,128
100034755726546091323,129
100034852139736181868,130
100034919801161683139,131
100034951622767959078,132
100034984155009000919,133
100035547964391705274,134
100035895641954084493,135
100036494993214603362,136
100036647073748508960,137
100036879967474085228,138
100036983323956383566,139
100037370021840467293,140
100037392101461717365,141
100037428816683405368,142
100038049701535106285,143
100038381983125763075,144
100038413049692507619,145
100038567648880602899,146
100038654959459896101,147
100038874802383337416,148
100039331602368684087,149
100039544776254393067,150
100039676769980385209,151
100040550700132989569,152
100040579167442382694,153
100040589098674961475,154
100040621447440961702,155
100040826568042579207,156
100041237708055176318,157
100041278096196429830,158
100041313778307876403,159
100041453247200020643,160
100042103285281335454,161
100042105400303837117,162
100042536900900680818,163
100042872470152404456,164
100043057758270223308,165
100043448229060949258,166
100043539724329079391,167
100043900361742432351,168
100043968369145338808,169
